site,block,plot,mean_treatment,variance_treatment,var_treatment_2019,var_treatment_2020,var_treatment_2021,var_treatment_2022,var_treatment_2023,var_treatment_2024,var_treatment_2025
meanvar_black,1,1,ambient,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,1,2,ambient,more variance,,increase,increase,decrease,increase,increase,increase
meanvar_black,1,3,ambient,more variance,,decrease,decrease,increase,decrease,decrease,decrease
meanvar_black,1,4,reduced,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,1,5,reduced,more variance,,decrease,decrease,decrease,decrease,decrease,increase
meanvar_black,1,6,reduced,more variance,,increase,increase,increase,increase,increase,decrease
meanvar_black,2,7,reduced,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,2,8,reduced,more variance,,increase,decrease,increase,decrease,increase,increase
meanvar_black,2,9,reduced,more variance,,decrease,increase,decrease,increase,decrease,decrease
meanvar_black,2,10,ambient,more variance,,increase,increase,decrease,decrease,increase,decrease
meanvar_black,2,11,ambient,more variance,,decrease,decrease,increase,increase,decrease,increase
meanvar_black,2,12,ambient,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,3,13,reduced,more variance,,increase,increase,decrease,decrease,increase,increase
meanvar_black,3,14,reduced,more variance,,decrease,decrease,increase,increase,decrease,decrease
meanvar_black,3,15,reduced,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,3,16,ambient,more variance,,decrease,increase,increase,increase,decrease,decrease
meanvar_black,3,17,ambient,more variance,,increase,decrease,decrease,decrease,increase,increase
meanvar_black,3,18,ambient,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,4,19,ambient,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,4,20,ambient,more variance,,increase,decrease,decrease,increase,decrease,decrease
meanvar_black,4,21,ambient,more variance,,decrease,increase,increase,decrease,increase,increase
meanvar_black,4,22,reduced,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,4,23,reduced,more variance,,decrease,decrease,increase,decrease,decrease,decrease
meanvar_black,4,24,reduced,more variance,,increase,increase,decrease,increase,increase,increase
meanvar_black,5,25,reduced,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_black,5,26,reduced,more variance,,increase,decrease,decrease,increase,increase,increase
meanvar_black,5,27,reduced,more variance,,decrease,increase,increase,decrease,decrease,decrease
meanvar_black,5,28,ambient,more variance,,decrease,decrease,decrease,increase,increase,decrease
meanvar_black,5,29,ambient,more variance,,increase,increase,increase,decrease,decrease,increase
meanvar_black,5,30,ambient,ambient,,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_blue,1,1,ambient,more variance,increase,increase,decrease,increase,decrease,increase,decrease
meanvar_blue,1,2,ambient,more variance,decrease,decrease,increase,decrease,increase,decrease,increase
meanvar_blue,1,3,ambient,ambient,ambient,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_blue,1,4,reduced,more variance,decrease,decrease,decrease,decrease,increase,increase,increase
meanvar_blue,1,5,reduced,more variance,increase,increase,increase,increase,decrease,decrease,decrease
meanvar_blue,1,6,reduced,ambient,ambient,ambient,ambient,ambient,ambient,ambient,ambient
meanvar_blue,2,7,reduced,more variance,decrease,increase,decrease,increase,increase,increase,decrease
